disease,symptom,description,weight,precautions
hypoglycemia,excessive_hunger, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,4,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,drying_and_tingling_lips, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,4,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,slurred_speech, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,4,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,irritability, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,2,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypoglycemia,palpitations, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,4,"['lie down on side', 'check in pulse', 'drink sugary drinks', 'consult doctor']"
hypothyroidism,fatigue,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",4,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,weight_gain,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",3,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,cold_hands_and_feets,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",5,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,mood_swings,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",3,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,lethargy,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",2,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,dizziness,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",4,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,puffy_face_and_eyes,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",5,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,enlarged_thyroid,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",6,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,brittle_nails,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",5,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,swollen_extremeties,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",5,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,depression,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",3,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,irritability,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",2,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
hypothyroidism,abnormal_menstruation,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",6,"['reduce stress', 'exercise', 'eat healthy', 'get proper sleep']"
impetigo,skin_rash,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",3,"['soak affected area in warm water', 'use antibiotics', 'remove scabs with wet compressed cloth', 'consult doctor']"
impetigo,high_fever,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",7,"['soak affected area in warm water', 'use antibiotics', 'remove scabs with wet compressed cloth', 'consult doctor']"
impetigo,blister,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",4,"['soak affected area in warm water', 'use antibiotics', 'remove scabs with wet compressed cloth', 'consult doctor']"
impetigo,red_sore_around_nose,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",2,"['soak affected area in warm water', 'use antibiotics', 'remove scabs with wet compressed cloth', 'consult doctor']"
impetigo,yellow_crust_ooze,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",3,"['soak affected area in warm water', 'use antibiotics', 'remove scabs with wet compressed cloth', 'consult doctor']"
jaundice,itching,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",1,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']"
jaundice,vomiting,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",5,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']"
jaundice,fatigue,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",4,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']"
jaundice,weight_loss,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",3,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']"
jaundice,high_fever,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",7,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']"
jaundice,yellowish_skin,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",3,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']"
jaundice,dark_urine,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",4,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']"
jaundice,abdominal_pain,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",4,"['drink plenty of water', 'consume milk thistle', 'eat fruits and high fiberous food', 'medication']"
malaria,chills,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,3,"['consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']"
malaria,vomiting,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,5,"['consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']"
malaria,high_fever,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,7,"['consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']"
malaria,sweating,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,3,"['consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']"
malaria,headache,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,3,"['consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']"
malaria,nausea,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,5,"['consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']"
malaria,diarrhoea,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,6,"['consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']"
malaria,muscle_pain,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,2,"['consult nearest hospital', 'avoid oily food', 'avoid non veg food', 'keep mosquitos out']"
migraine,acidity,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",3,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']"
migraine,indigestion,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",5,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']"
migraine,headache,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",3,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']"
migraine,blurred_and_distorted_vision,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",5,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']"
migraine,excessive_hunger,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",4,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']"
migraine,stiff_neck,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",4,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']"
migraine,depression,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",3,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']"
migraine,irritability,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",2,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']"
migraine,visual_disturbances,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",3,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']"
osteoarthristis,joint_pain,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",3,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']"
osteoarthristis,neck_pain,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",5,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']"
osteoarthristis,knee_pain,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",3,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']"
osteoarthristis,hip_joint_pain,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",2,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']"
osteoarthristis,swelling_joints,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",5,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']"
osteoarthristis,painful_walking,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",2,"['acetaminophen', 'consult nearest hospital', 'follow up', 'salt baths']"
paralysis (brain hemorrhage),vomiting,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",5,"['massage', 'eat healthy', 'exercise', 'consult doctor']"
paralysis (brain hemorrhage),headache,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",3,"['massage', 'eat healthy', 'exercise', 'consult doctor']"
paralysis (brain hemorrhage),weakness_of_one_body_side,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",4,"['massage', 'eat healthy', 'exercise', 'consult doctor']"
paralysis (brain hemorrhage),altered_sensorium,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",2,"['massage', 'eat healthy', 'exercise', 'consult doctor']"
peptic ulcer diseae,vomiting,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']"
peptic ulcer diseae,indigestion,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']"
peptic ulcer diseae,loss_of_appetite,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",4,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']"
peptic ulcer diseae,abdominal_pain,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",4,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']"
peptic ulcer diseae,passage_of_gases,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",5,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']"
peptic ulcer diseae,internal_itching,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",4,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']"
pneumonia,chills,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",3,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,fatigue,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",4,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,cough,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",4,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,high_fever,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",7,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,breathlessness,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",4,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,sweating,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",3,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,malaise,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",6,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,phlegm,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",5,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,chest_pain,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",7,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,fast_heart_rate,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",5,"['consult doctor', 'medication', 'rest', 'follow up']"
pneumonia,rusty_sputum,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",4,"['consult doctor', 'medication', 'rest', 'follow up']"
psoriasis,skin_rash,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",3,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']"
psoriasis,joint_pain,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",3,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']"
psoriasis,skin_peeling,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",3,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']"
psoriasis,silver_like_dusting,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",2,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']"
psoriasis,small_dents_in_nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",2,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']"
psoriasis,inflammatory_nails,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",2,"['wash hands with warm soapy water', 'stop bleeding using pressure', 'consult doctor', 'salt baths']"
tuberculosis,chills,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",3,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,vomiting,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",5,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,fatigue,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",4,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,weight_loss,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",3,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,cough,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",4,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,high_fever,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",7,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,breathlessness,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",4,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,sweating,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",3,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,loss_of_appetite,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",4,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,mild_fever,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",5,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,yellowing_of_eyes,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",4,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,swelled_lymph_nodes,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",6,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,malaise,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",6,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,phlegm,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",5,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,chest_pain,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",7,"['cover mouth', 'consult doctor', 'medication', 'rest']"
tuberculosis,blood_in_sputum,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",5,"['cover mouth', 'consult doctor', 'medication', 'rest']"
typhoid,chills,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",3,"['eat high calorie vegitables', 'antiboitic therapy', 'consult doctor', 'medication']"
